abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,subsection_name,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person
"  After decades of hostilities, the nation's two main teachers' unions are talking about merging.   The issue will be on the table at the annual meeting of the 2.1-million-member National Education Association in San Francisco next week. The other union, the 820,000-member American Federation of Teachers, has long been open to such a merger. And although people from both unions say that significant differences remain and that an actual merger is a long way off, they also say merging makes sense now.",https://www.nytimes.com/1993/06/23/education/teacher-unions-long-far-apart-discuss-a-merger.html,,"After decades of hostilities, the nation's two main teachers' unions are talking about merging.",B,7,The New York Times,1993-06-23T05:00:00+0000,article,None,Education,News,nyt://article/cef5ab46-b018-582d-840e-1991097d9c81,1176,nyt://article/cef5ab46-b018-582d-840e-1991097d9c81,NA,"Teacher Unions, Long Far Apart, Discuss a Merger",NA,NA,"Teacher Unions, Long Far Apart, Discuss a Merger",NA,NA,NA,By William Celis 3d,
"  Faced with desperate problems, the school board of this faded, working-class Pittsburgh suburb came up with a radical solution: it sent layoff notices to the teachers at one of its four schools and hired a fledgling Tennessee company to pick its own teachers and run the school.   The agreement, approved after the district sought proposals from all comers on how to manage the schools, is the first in the nation in which a private company is being brought in with the authority to replace the teachers in a public school. As such, it goes even further than for-profit ventures like Education Alternatives Inc., the company hired by school districts in Baltimore and Hartford to run their schools using existing teachers. The Edison Project, based in New York, which plans to open its first for-profit schools next year, would largely use existing teachers and work in cooperation with teachers unions.",https://www.nytimes.com/1995/04/09/us/private-company-given-power-to-pick-teachers.html,,"Faced with desperate problems, the school board of this faded, working-class Pittsburgh suburb came up with a radical solution: it sent layoff notices to the teachers at one of its four schools and hired a fledgling Tennessee company to pick its own teachers and run the school.",1,26,The New York Times,1995-04-09T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/be01732f-10a5-5c7f-90e2-d49abca240f8,1436,nyt://article/be01732f-10a5-5c7f-90e2-d49abca240f8,NA,Private Company Given Power to Pick Teachers,NA,NA,Private Company Given Power to Pick Teachers,NA,NA,NA,By Peter Applebome,
"The Educational Testing Service, one of the biggest testing organizations in the United States, has agreed to pay $11.1 million to settle a class-action lawsuit about errors in the scoring of a widely used teacher licensing examination, according to court-approved settlement papers released yesterday.      The exams, known as the Praxis series, are designed, administered and scored by the Educational Testing Service of Princeton, N.J. They are used by 39 states and United States jurisdictions to determine a person's eligibility to be licensed as a teacher.  ",https://www.nytimes.com/2006/03/15/education/case-involving-errors-in-teacher-test-is-settled.html,"The Educational Testing Service, one of the biggest testing organizations in the United States, has agreed to pay $11.1 million to settle a class-action lawsuit about errors in the scoring of a widely used teacher licensing examination, according ...","The Educational Testing Service, one of the biggest testing organizations in the United States, has agreed to pay $11.1 million to settle a class-action lawsuit about errors in the scoring of a widely used teacher licensing examination, according to court-approved settlement papers released yesterday.",A,20,The New York Times,2006-03-15T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/911413c4-5504-5391-8bb0-edcb2fbcd329,567,nyt://article/911413c4-5504-5391-8bb0-edcb2fbcd329,NA,Case Involving Errors in Teacher Test Is Settled,NA,NA,Case Involving Errors in Teacher Test Is Settled,NA,NA,NA,By Karen W. Arenson,
"   The American Federation of Teachers ended its annual convention here today amid growing expectation that the school reform movement would expand beyond elementary and secondary schools to teachers' colleges.    ''There is no question but that it will lead to criticism of the education that prospective teachers are getting,'' said Albert Shanker, who was elected today to his sixth two-year term as president of the teachers' union.    ''Some criticism will be fair and some will not,'' Mr. Shanker said. ''The thing that works against the colleges is that there are some two million teachers, most of whom have negative things to say about whether the education they got was helpful. A doctor might criticize medical education, but he would not say he would be better off without his professional training, as a teacher would.''",https://www.nytimes.com/1984/08/24/us/federation-calls-for-better-teacher-training.html,,The American Federation of Teachers ended its annual convention here today amid growing expectation that the school reform movement would expand beyond elementary and secondary schools to teachers' colleges.,A,26,The New York Times,1984-08-24T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/2bc41d5c-8961-5345-a00b-53059c5abb22,602,nyt://article/2bc41d5c-8961-5345-a00b-53059c5abb22,NA,FEDERATION CALLS FOR BETTER TEACHER TRAINING,NA,NA,FEDERATION CALLS FOR BETTER TEACHER TRAINING,NA,NA,NA,By Gene I. Maeroff,
"  The Carnegie Forum on Education and the Economy today announced the creation of a panel to establish a national board that would test and certify the professional qualifications of teachers.   Board certification, which would be voluntary for teachers, was proposed last May by the forum's report on teaching, ''A Nation Prepared: Teachers for the 21st Century.'' The concept has since been endorsed by the two major teacher unions and by the National Governors' Association, in a recent report.   The 33-member panel named today included the 14 members of the study group that prepared the Carnegie report. Most are teachers, a reflection of the study group's view that teachers should ultimately be responsible for setting and preserving standards for their profession, as lawyers and doctors do in their fields.",https://www.nytimes.com/1986/09/06/us/group-names-panel-on-teacher-certification.html,,The Carnegie Forum on Education and the Economy today announced the creation of a panel to establish a national board that would test and certify the professional qualifications of teachers.,1,28,The New York Times,1986-09-06T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/65f38975-d8c1-5171-867c-fa27bbf602e9,653,nyt://article/65f38975-d8c1-5171-867c-fa27bbf602e9,NA,GROUP NAMES PANEL ON TEACHER CERTIFICATION,NA,NA,GROUP NAMES PANEL ON TEACHER CERTIFICATION,NA,NA,NA,"By Leslie Maitland Werner, Special To the New York Times",
"  In an informal survey of its members, the National Education Association has found that the number of teachers laid off rose in a majority of states in last year and that threatened cutbacks in health care benefits were termed one of the toughest bargaining issues facing teachers.   Highlights of the union's survey, conducted in the last two weeks of June, were made public today by the association's executive director, Don Cameron.",https://www.nytimes.com/1991/07/06/us/survey-of-teachers-bodes-ill-for-the-fall-term.html,,"In an informal survey of its members, the National Education Association has found that the number of teachers laid off rose in a majority of states in last year and that threatened cutbacks in health care benefits were termed one of the toughest bargaining issues facing teachers.",1,10,The New York Times,1991-07-06T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/e8796f3e-f361-52de-b662-50c2da6e799d,483,nyt://article/e8796f3e-f361-52de-b662-50c2da6e799d,NA,Survey of Teachers Bodes Ill for the Fall Term,NA,NA,Survey of Teachers Bodes Ill for the Fall Term,NA,NA,NA,AP,
"With a legislative session in its final days, the vaunted rise of the political middle has taken it on the kisser.",https://www.nytimes.com/2007/05/20/us/20minnesota.html,"With a legislative session in its final days, the vaunted rise of the political middle has taken it on the kisser.","ST. PAUL, May 16  John Berns and John Benson were swept into the Minnesota State Legislature last fall in a midterm election that promised an end to the state’s polarized partisan politics. ",A,16,The New York Times,2007-05-20T04:00:00+0000,article,National,U.S.,News,nyt://article/1486d1c3-0cba-5e9d-b1b9-561027ade15d,1355,nyt://article/1486d1c3-0cba-5e9d-b1b9-561027ade15d,NA,A Tenuous Legislative Consensus in Minnesota Has Collapsed Over Tax Increases,As St. Paul Goes ...,NA,A Tenuous Legislative Consensus in Minnesota Has Collapsed Over Tax Increases,NA,NA,NA,By Kirk Johnson,
"LEAD: While their salaries are at an all-time high, American teachers earn just $737 more on average than they did in 1972 with inflation taken into account, the American Federation of Teachers said today.",https://www.nytimes.com/1989/07/22/us/teachers-put-yearly-pay-gain-at-41.html,,"While their salaries are at an all-time high, American teachers earn just $737 more on average than they did in 1972 with inflation taken into account, the American Federation of Teachers said today.",1,7,The New York Times,1989-07-22T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/81105c75-fbb8-599b-9ccc-dfe81f102b61,641,nyt://article/81105c75-fbb8-599b-9ccc-dfe81f102b61,NA,Teachers Put Yearly Pay Gain at $41,NA,NA,Teachers Put Yearly Pay Gain at $41,NA,NA,NA,"By Julie Johnson, Special To the New York Times",
"   In 1980, Jill Shaeffer voted for Ronald Reagan because she was disenchanted with Jimmy Carter. This year she will vote Democratic because she is disenchanted with Mr. Reagan.   ''Voting for Reagan was a major mistake in my life, but it was a form of dissenting against the Carter Administration,'' explained Mrs. Shaeffer, a high school English teacher. ''Now I've seen Reagan slash education funding, and as schools tighten their belts I've seen teachers with not enough textbooks and extremely high class sizes. And it's all for the benefit of a few more missiles.''",https://www.nytimes.com/1984/02/16/us/teacher-support-of-reagan-wanes.html,,"In 1980, Jill Shaeffer voted for Ronald Reagan because she was disenchanted with Jimmy Carter. This year she will vote Democratic because she is disenchanted with Mr. Reagan.",B,10,The New York Times,1984-02-16T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/3784deb3-1f10-5f65-bd06-6cd61e448401,954,nyt://article/3784deb3-1f10-5f65-bd06-6cd61e448401,NA,TEACHER SUPPORT OF REAGAN WANES,NA,NA,TEACHER SUPPORT OF REAGAN WANES,NA,NA,NA,By Steven V. Roberts,
Student teachers at the University of Massachusetts are protesting a new national licensure procedure being developed by the education company Pearson and Stanford University.,https://www.nytimes.com/2012/05/07/education/new-procedure-for-teaching-license-draws-protest.html,Student teachers at the University of Massachusetts are protesting a new national licensure procedure being developed by the education company Pearson and Stanford University.,The idea that a handful of college instructors and student teachers in the school of education at the University of Massachusetts could slow the corporatization of public education in America is both quaint and ridiculous.,A,15,The New York Times,2012-05-07T01:04:46+0000,article,National,Education,News,nyt://article/609187ea-5d86-57c9-a7f6-5e985500460f,1224,nyt://article/609187ea-5d86-57c9-a7f6-5e985500460f,NA,Move to Outsource Teacher Licensing Process Draws Protest,On Education,NA,Move to Outsource Teacher Licensing Process Draws Protest,NA,NA,NA,By Michael Winerip,
The Educational Testing Service has agreed to pay $11.1 million to settle a class-action lawsuit about errors in the scoring of a widely used teacher licensing examination.,https://www.nytimes.com/2006/03/15/education/15sat.html,The Educational Testing Service has agreed to pay $11.1 million to settle a class-action lawsuit about errors in the scoring of a widely used teacher licensing examination.,"The Educational Testing Service, one of the biggest testing organizations in the United States, has agreed to pay $11.1 million to settle a class-action lawsuit about errors in the scoring of a widely used teacher licensing examination, according to court-approved settlement papers released yesterday. ",A,18,The New York Times,2006-03-15T05:00:00+0000,article,National,Education,News,nyt://article/de4eea35-27be-572f-9270-aad868fbc7c4,565,nyt://article/de4eea35-27be-572f-9270-aad868fbc7c4,NA,Case Involving Errors in Teacher Test Is Settled,NA,NA,Case Involving Errors in Teacher Test Is Settled,NA,NA,NA,By KAREN W. ARENSON,
"Article on increasing number of teachers who have come to their profession by nontraditional routes; hard-pressed districts are seeking out candidates who bring skills and point of view that is not taught to education majors; more than 300 alternative teacher recruitment and training programs cater to physicists, engineers, business and former military personnel in search of new career and new challenges; photos; demographic profile (special section, Education Life) (M)",https://www.nytimes.com/1998/04/05/education/the-changing-face-of-america-s-teachers.html,Article on increasing number of teachers who have come to their profession by nontraditional routes; hard-pressed districts are seeking out candidates who bring skills and point of view that is not taught to education majors; more than 300 alterna...,"The lights went off inside the windowless, cinder-block room, and the television screen began to glow, filled with the grainy images of a Department of Defense video. As the 11 viewers took furious notes, the camera focused on a communications tower outside of Baghdad. Seconds later, the tower exploded, blown up by a bomb from the belly of an American plane.",A,4,The New York Times,1998-04-05T05:00:00+0000,article,Education Life Supplement,Education,News,nyt://article/0baa1ca1-9ad1-5ce0-8ed2-b8702efef40b,4088,nyt://article/0baa1ca1-9ad1-5ce0-8ed2-b8702efef40b,NA,The Changing Face Of America's Teachers,NA,NA,The Changing Face Of America's Teachers,NA,NA,NA,By Jacques Steinberg,
"LEAD: In a move that will substantially alter the way new teachers are certified, the Educational Testing Service said yesterday that it would replace its much-criticized National Teachers Examinations with more sophisticated tests.",https://www.nytimes.com/1988/10/28/us/teachers-exam-often-criticized-to-be-replaced.html,,"In a move that will substantially alter the way new teachers are certified, the Educational Testing Service said yesterday that it would replace its much-criticized National Teachers Examinations with more sophisticated tests.",A,1,The New York Times,1988-10-28T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/73b1278d-c0c3-5120-bf4d-84c8e9df0fd8,1237,nyt://article/73b1278d-c0c3-5120-bf4d-84c8e9df0fd8,NA,"Teachers' Exam, Often Criticized, To Be Replaced",NA,NA,"Teachers' Exam, Often Criticized, To Be Replaced",NA,NA,NA,By Edward B. Fiske,
An Iowa school district said it was investigating the teacher’s Facebook comment about a rally led by the young climate activist.,https://www.nytimes.com/2019/10/06/us/Greta-thunberg-shooting-threat-teacher.html,An Iowa school district said it was investigating the teacher’s Facebook comment about a rally led by the young climate activist.,"An Iowa chemistry teacher was placed on administrative leave after saying on Facebook that he would not attend a rally featuring the climate activist Greta Thunberg because he didn’t “have my sniper rifle,” according to school officials and reports. ",A,12,The New York Times,2019-10-06T19:21:36+0000,article,Express,U.S.,News,nyt://article/d6d3d945-dbd4-5e0b-a26c-0dfda8a0b550,494,nyt://article/d6d3d945-dbd4-5e0b-a26c-0dfda8a0b550,NA,"Teacher Put on Leave After ‘Sniper Rifle’ Comment About Greta Thunberg, District Says",NA,NA,‘Vile’ Comment On Thunberg Gets Teacher Put on Leave,NA,NA,NA,By Sandra E. Garcia,
"LEAD: The authorities today arrested David Brom, 16 years old, in the ax murders of his parents, a brother and a sister. Prosecutors said they would seek to try him as an adult on murder charges.",https://www.nytimes.com/1988/02/20/us/boy-16-charged-in-ax-murders-of-4-in-his-family-in-minnesota.html,,"The authorities today arrested David Brom, 16 years old, in the ax murders of his parents, a brother and a sister. Prosecutors said they would seek to try him as an adult on murder charges.",1,50,The New York Times,1988-02-20T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/fe2df858-5a1c-59b7-9637-6d4d8519c4fa,466,nyt://article/fe2df858-5a1c-59b7-9637-6d4d8519c4fa,NA,"Boy, 16, Charged in Ax Murders Of 4 in His Family in Minnesota",NA,NA,"Boy, 16, Charged in Ax Murders Of 4 in His Family in Minnesota",NA,NA,NA,AP,
"  Following are excerpts from the Supreme Court decision today upholding Minnesota's tuition tax deduction plan: From the Opinion By Justice Rehnquist   Minnesota allows taxpayers, in computing their state income tax, to deduct certain expenses incurred in providing for the education of their children. Minn. Stat. Sec. 290.09. The United States Court of Appeals for the Eighth Circuit held that the Establishment Clause of the First and 14thAmendments was not offended by this arrangement. We now affirm.   Minnesota, like every other state, provides its citizens with free elementary and secondary schooling. It seems to be agreed that about 820,000 students attended this school system in the most recent school year. During the same year, approximately 91,000 elementary and secondary students attended some 500 privately supported schools located in Minnesota, and about 95 percent of these students attended schools considering themselves to be sectarian.",https://www.nytimes.com/1983/06/30/us/excerpts-from-court-s-ruling-on-minnesota-tax-law-on-school-expense.html,,Following are excerpts from the Supreme Court decision today upholding Minnesota's tuition tax deduction plan: From the Opinion By Justice Rehnquist,D,22,The New York Times,1983-06-30T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/4dbc4e59-b061-5d58-9164-c161cbcfe5a4,2919,nyt://article/4dbc4e59-b061-5d58-9164-c161cbcfe5a4,NA,EXCERPTS FROM COURT'S RULING ON MINNESOTA TAX LAW ON SCHOOL EXPENSE,NA,NA,EXCERPTS FROM COURT'S RULING ON MINNESOTA TAX LAW ON SCHOOL EXPENSE,NA,NA,NA,Special to the New York Times,
"Ahead of the midterm elections, people in Anoka, Minn., craved substance and not rhetoric, and wanted to hear about issues like health care and the war in Iraq.",https://www.nytimes.com/2006/10/11/us/politics/11voices.html,"Ahead of the midterm elections, people in Anoka, Minn., craved substance and not rhetoric, and wanted to hear about issues like health care and the war in Iraq.","ANOKA, Minn. — Merrywayne Elvig is a registered Republican who voted twice for President Bush. But these days Ms. Elvig says she “has a lot of problems” with the president, his administration and Congress, most notably on Iraq. She now prefers to identify herself as a conservative rather than a Republican. ",A,24,The New York Times,2006-10-11T04:00:00+0000,article,National,U.S.,News,nyt://article/770a5e84-bf8b-595f-befb-f28cf4ad2919,1282,nyt://article/770a5e84-bf8b-595f-befb-f28cf4ad2919,Politics,"In Minnesota, Voters Tune Out Scandals and Infighting to Focus on Issues",NA,NA,"In Minnesota, Voters Tune Out Scandals and Infighting to Focus on Issues",NA,NA,NA,By Lynette Clemetson,
"  The Democratic Presidential candidates were wooing teachers at the annual meeting of the National Education Association here the last few days, and the teachers said they were delighted to see education back at the top of the nation's agenda.   Most teachers, however, denounced President Reagan's interest in the issue as highly opportunistic, arguing that he was making political hay by criticizing them and their union, which has long been pleading for more Federal attention to education.   Ada Mae Karlberg, a third-grade teacher in Bucks County, Pa., outside Philadelphia, predicted, ''Ronald Reagan will emphasize education for about as long as it helps him focus negative attention on the Democratic candidates.''   Russell D. Clayton of Newton, Iowa, an eighth-grade teacher who has been registered as a Republican for 30 years, said he voted for Mr.  Reagan in 1980 but would not do so again. Of the President's campaign for excellence in education, Mr. Clayton said, ''I think he is trying to save himself, to make amends, but it's kind of late.''",https://www.nytimes.com/1983/07/03/us/democrats-court-teachers-at-gathering.html,,"The Democratic Presidential candidates were wooing teachers at the annual meeting of the National Education Association here the last few days, and the teachers said they were delighted to see education back at the top of the nation's agenda.",1,14,The New York Times,1983-07-03T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/213b0c7e-bac2-56bc-9460-7cd9c933b20b,1176,nyt://article/213b0c7e-bac2-56bc-9460-7cd9c933b20b,NA,DEMOCRATS COURT TEACHERS AT GATHERING,NA,NA,DEMOCRATS COURT TEACHERS AT GATHERING,NA,NA,NA,"By Robert Pear, Special To the New York Times",
"  Congressional Democrats, joining the political fray over education issues, announced today that they were forming a group to examine proposals for merit pay increases for teachers, an idea that is at the heart of President Reagan's new initiatives on education.   The announcement came as a chorus of Democrats, including a number of Presidential candidates, denounced Mr. Reagan's record on education and charged in a statement that his objective was ''to knock down the entire Federal education support system and destroy it.''   Representative Carl D. Perkins of Kentucky, chairman of the House Education and Labor Committee, chose Representative Paul Simon of Illinois to lead the bipartisan group. force. Mr. Simon, who is widely respected on education issues, favors rewarding outstanding teachers with higher salaries.   ''We have to be moving in that direction,'' Mr. Simon said in a telephone interview. ''Precisely how we do that is less clear to me.  But I am convinced that we have to do a great deal more to encourage bright, able young people to go into teaching, and we have to do a great deal more to keep our best teachers in teaching. ''",https://www.nytimes.com/1983/06/11/us/democratic-group-to-study-merit-pay-for-teachers.html,,"Congressional Democrats, joining the political fray over education issues, announced today that they were forming a group to examine proposals for merit pay increases for teachers, an idea that is at the heart of President Reagan's new initiatives on education.",1,8,The New York Times,1983-06-11T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/6916f306-595b-5f6c-a4ac-6c0688e77bd1,894,nyt://article/6916f306-595b-5f6c-a4ac-6c0688e77bd1,NA,DEMOCRATIC GROUP TO STUDY MERIT PAY FOR TEACHERS,NA,NA,DEMOCRATIC GROUP TO STUDY MERIT PAY FOR TEACHERS,NA,NA,NA,"By David Shribman, Special To the New York Times",
"   Immediate steps must be taken to raise the salaries of all teachers rather than concentrate only on rewarding some with merit pay, a Congressional study group said today.   The 21-member bipartisan panel said merit pay, a major feature of President Reagan's education proposals, was worth experimenting with but that it alone would not solve the nation's education problems.   ''School districts and states must raise the basic pay of teachers,'' the Task Force on Teacher Merit Pay said in its primary recommendation. ''Without this, other steps will have limited impact.''",https://www.nytimes.com/1983/10/12/us/panel-urges-rise-in-teachers-wages.html,,"Immediate steps must be taken to raise the salaries of all teachers rather than concentrate only on rewarding some with merit pay, a Congressional study group said today.",A,14,The New York Times,1983-10-12T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/0117585a-051d-5ee7-93d7-6f073d600531,785,nyt://article/0117585a-051d-5ee7-93d7-6f073d600531,NA,PANEL URGES RISE IN TEACHERS WAGES,NA,NA,PANEL URGES RISE IN TEACHERS WAGES,NA,NA,NA,AP,
"  On its face, this tiny corn and soybean country town is peaceful. Trees and lawns are trimmed and flowers abound in the yards of well-painted houses. Grain elevators stand tall.   But until Thursday night many of Lyle's 550 residents were worried about the sniper slaying last week of a 33-year-old teacher, shot through her living room window as she worked on needlepoint.",https://www.nytimes.com/1982/08/15/us/hunter-14-is-held-in-slaying-of-a-teacher-in-a-quiet-town.html,,"On its face, this tiny corn and soybean country town is peaceful. Trees and lawns are trimmed and flowers abound in the yards of well-painted houses. Grain elevators stand tall.",1,54,The New York Times,1982-08-15T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/b9160004-e102-5057-87e5-8efeab656c81,674,nyt://article/b9160004-e102-5057-87e5-8efeab656c81,NA,"HUNTER, 14, IS HELD IN SLAYING OF A TEACHER IN A QUIET TOWN",NA,NA,"HUNTER, 14, IS HELD IN SLAYING OF A TEACHER IN A QUIET TOWN",NA,NA,NA,AP,
"   When James Lee Jenkins showed up here 14 months ago, he seemed just another down-on-his-luck drifter, a dispossessed Minnesota farmer who, like others, was looking for a job doing something, anything, with his hands.    He said he wanted to get back to farming, but he did not seem obsessed about it, simply resolute.   ''He didn't talk about it that much,'' recalled Jim Perry, maintenance supervisor for the Brownwood Independent School District, where Mr. Jenkins worked 11 months before going back to Minnesota to buy another farm.   ''When he first came here, he said he'd lost his farm and he'd like to get a farm back, but that's all he said, and he never did mention it again,'' Mr. Perry remembered.",https://www.nytimes.com/1983/10/05/us/minnesota-farmer-s-violence-shocks-texans-who-knew-him.html,,"When James Lee Jenkins showed up here 14 months ago, he seemed just another down-on-his-luck drifter, a dispossessed Minnesota farmer who, like others, was looking for a job doing something, anything, with his hands.",A,16,The New York Times,1983-10-05T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/c7721d98-faad-5256-82d3-9ff4112df460,1056,nyt://article/c7721d98-faad-5256-82d3-9ff4112df460,NA,MINNESOTA FARMER'S VIOLENCE SHOCKS TEXANS WHO KNEW HIM,NA,NA,MINNESOTA FARMER'S VIOLENCE SHOCKS TEXANS WHO KNEW HIM,NA,NA,NA,By Wayne King,
"  After two days of vigorous debate, the nation's largest teachers' union today endorsed a recent recommendation by the Carnegie Corporation to establish a national board of standards to certify elementary and high school teachers.   But in a resolution on the subject and in discussions before they voted at their 124th convention, representatives of the 1.8-million-member National Education Association also expressed significant reservations about some aspects of the proposal, made in May by the foundation.   They emphasized that any national teacher certification system must supplement, not replace, existing state licensing boards. Mary Hatwood Futrell, the association's president, said the boards must continue to have the ''appropriate, legal and chief responsbility'' for the matter.",https://www.nytimes.com/1986/07/05/us/teachers-union-backs-national-standard-system.html,,"After two days of vigorous debate, the nation's largest teachers' union today endorsed a recent recommendation by the Carnegie Corporation to establish a national board of standards to certify elementary and high school teachers.",1,10,The New York Times,1986-07-05T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/f97e14b9-6af0-548e-b019-3ba8e2e54d9d,786,nyt://article/f97e14b9-6af0-548e-b019-3ba8e2e54d9d,NA,TEACHERS' UNION BACKS NATIONAL STANDARD SYSTEM,NA,NA,TEACHERS' UNION BACKS NATIONAL STANDARD SYSTEM,NA,NA,NA,"By Larry Rohter, Special To the New York Times",
"A judicial hearing officer has ruled that a local school district cannot dismiss a high school English teacher for showing the R-rated Bertolucci film ""1900"" to his 17- and 18-year-old students.         The teacher, Alfred E. Wilder, of Columbine High School in the Denver suburb  of Littleton, was suspended in March 1995 just days after he showed parts of the film to his senior-level Logic and Debate class. Two parents of 17-year-old students complained about the movie, a four-hour epic about the rise of fascism  in 20th-century Italy. Made in 1977, the movie includes scenes of homosexuality, oral sex, frontal nudity and violence.   ",https://www.nytimes.com/1996/03/20/us/a-high-school-teacher-wins-over-showing-r-rated-movie.html,,"A judicial hearing officer has ruled that a local school district cannot dismiss a high school English teacher for showing the R-rated Bertolucci film ""1900"" to his 17- and 18-year-old students.",B,9,The New York Times,1996-03-20T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/caaddc74-8573-5d28-9ad4-5e04bd8bcb0d,304,nyt://article/caaddc74-8573-5d28-9ad4-5e04bd8bcb0d,NA,A High School Teacher Wins Over Showing R-Rated Movie,NA,NA,A High School Teacher Wins Over Showing R-Rated Movie,NA,NA,NA,By The New York Times,
"LEAD: The Presidential primary season is not over. North Dakota, the state that held the first Presidential primary in the nation in 1912, will hold the last one in 1988, on Tuesday. No Democrat bothered to file. On the Republican side, the ballot lists only Vice President Bush and Mary Jane Rachner, a retired Minnesota teacher who says the spirits of her late mother and grandmother told her to run for",https://www.nytimes.com/1988/06/14/us/without-fanfare-a-final-primary.html,,"The Presidential primary season is not over. North Dakota, the state that held the first Presidential primary in the nation in 1912, will hold the last one in 1988, on Tuesday. No Democrat bothered to file. On the Republican side, the ballot lists only Vice President Bush and Mary Jane Rachner, a retired Minnesota teacher who says the spirits of her late mother and grandmother told her to run for President.",B,7,The New York Times,1988-06-14T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/3b79d489-0eff-572d-b96f-e415b4a33e57,441,nyt://article/3b79d489-0eff-572d-b96f-e415b4a33e57,NA,"Without Fanfare, a Final Primary",NA,NA,"Without Fanfare, a Final Primary",NA,NA,NA,AP,
"Public schools nationwide face worst teacher shortage in recent memory as new academic year begins; problem attributed more to geography and expertise rather than overall supply; teachers in states where hundreds are vying for one job are largely unwilling to move to those most in need, while many amenable to change of scenery are often untrained in subjects where shortages are greatest; districts and states, in desperate pursuit especially of those trained in specific subjects, have stepped up competition in ways that mirror private sector and were unheard of even five years ago; situation in New York City and some other large school districts nationwide discussed; photo (M)",https://www.nytimes.com/1999/08/31/us/as-students-return-schools-cope-with-severe-shortage-of-teachers.html,Public schools nationwide face worst teacher shortage in recent memory as new academic year begins; problem attributed more to geography and expertise rather than overall supply; teachers in states where hundreds are vying for one job are largely ...,"As children across the United States swarm back to school, principals from Washington to Palm Beach County, Fla., and from Houston to Los Angeles say they are struggling through the worst teacher shortage in recent memory. They describe being whipsawed by swelling enrollments and a push to reduce class sizes at a time when more teachers are retiring.",A,1,The New York Times,1999-08-31T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/61b1645b-9672-58d3-9716-2eaea7c13ae3,1382,nyt://article/61b1645b-9672-58d3-9716-2eaea7c13ae3,NA,"As Students Return, Schools Cope With Severe Shortage of Teachers",NA,NA,"As Students Return, Schools Cope With Severe Shortage of Teachers",NA,NA,NA,By Jacques Steinberg,
"THROUGHOUT his school career Edward Grant always excelled in mathematics. But he majored in English in college, and though he became a special-education teacher he never forgot his first love. So when he spotted an advertisement for a new retraining program for math teachers at Long Island University's Brooklyn campus, he enrolled. Today Mr. Grant is a math teacher at Brooklyn Technical High School. ''It was a real career change for me,'' he said. ''But the initial courses in geometry and algebra were for nonmath majors and this gave me confidence to pursue a degree in math.'' Since then Mr. Grant has also taken computer courses and is a computer specialist for his school.

Edward Grant is one of a growing number of adults who realize at some point in their careers that they always wanted to teach. Now, schools such as L. I. U. are attempting to draw them into the fold by offering programs for teacher training in a variety of disciplines. Retired Army colonels, actuaries, unemployed chemical engineers, board computer specialists or teachers laid off in certain subject areas are taking advantage of such programs, and the effort comes none too soon. By all reports there is a dramatic and growing shortage of teachers in the nation's schools, especially at the elementary level.",https://www.nytimes.com/1984/11/11/education/the-schools-its-teacher-shortage-time-again.html,"THROUGHOUT his school career Edward Grant always excelled in mathematics. But he majored in English in college, and though he became a special-education teacher he never forgot his first love. So when he spotted an advertisement for a new retraini...","THROUGHOUT his school career Edward Grant always excelled in mathematics. But he majored in English in college, and though he became a special-education teacher he never forgot his first love. So when he spotted an advertisement for a new retraining program for math teachers at Long Island University's Brooklyn campus, he enrolled. Today Mr. Grant is a math teacher at Brooklyn Technical High School. ''It was a real career change for me,'' he said. ''But the initial courses in geometry and algebra were for nonmath majors and this gave me confidence to pursue a degree in math.'' Since then Mr. Grant has also taken computer courses and is a computer specialist for his school.",12,38,The New York Times,1984-11-11T05:00:00+0000,article,Survey of Education Desk,Education,News,nyt://article/b6a161a9-0ec6-59d7-944b-8346a3751f86,1704,nyt://article/b6a161a9-0ec6-59d7-944b-8346a3751f86,NA,"THE SCHOOLS;
IT'S TEACHER SHORTAGE TIME AGAIN",NA,NA,"THE SCHOOLS;
IT'S TEACHER SHORTAGE TIME AGAIN",NA,NA,NA,By Sally Reed,
