abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person
"Public colleges and universities have historically served their own state residents, but the number of out-of-state freshmen attending them has nearly doubled since 1986, according to Department of Education data.",https://www.nytimes.com/interactive/2016/08/26/us/college-student-migration.html,"Public colleges and universities have historically served their own state residents, but the number of out-of-state freshmen attending them has nearly doubled since 1986, according to Department of Education data.","Public colleges and universities have historically served their own state residents, but the number of out-of-state freshmen attending them has nearly doubled since 1986, according to Department of Education data.",NA,NA,The New York Times,2016-08-26T09:02:29+0000,multimedia,U.S.,U.S.,NA,Interactive Feature,nyt://interactive/1c85b31e-bc34-5e43-b367-de771d498cb6,0,nyt://interactive/1c85b31e-bc34-5e43-b367-de771d498cb6,The Great Out-of-State Migration: Where Students Go,NA,NA,NA,NA,NA,NA,By NICK STRAYER,
"Navigating college is especially tricky with autistic traits: assignments overwhelm, dating becomes stalking and the dining hall is just too scary.",https://www.nytimes.com/2006/11/05/education/edlife/traits.html,"Navigating college is especially tricky with autistic traits: assignments overwhelm, dating becomes stalking and the dining hall is just too scary.","VALERIE KAPLAN has an aptitude for math, and scored a perfect 1600 on her SAT. When her high school classmates applauded the announcement at lunch, she was pleased. But less obvious signals — a raised eyebrow or impatient glance at a watch — elude her. In an advanced course at Carnegie Mellon called “Building Virtual Worlds,” that problem caused classmates to sideline her in group projects. And during a critical meeting to win approval for her customized major, electronic art, she intently circled the freckles on her arm with a marker.",4A,28,The New York Times,2006-11-05T05:00:00+0000,article,Travel,Education,Education Life,News,nyt://article/764f6025-402e-5f5e-bf56-ac1cf6ef693f,2163,nyt://article/764f6025-402e-5f5e-bf56-ac1cf6ef693f,Students on the Spectrum,A Dream Not Denied,NA,Students on the Spectrum,NA,NA,NA,By Abigail Sullivan Moore,
"Residents of Anoka, Minn, take their elections seriously with historically high turnout on Election Day; informal survey shows voters are tired of political swiping and are looking at specific issues and, in some cases, crossing party lines if candidate gives voice to their concerns; Anoka is in competitive district, with Republican Michele Bachmann facing Democrat Patty Wetterling in House race and Republican Rep Mark Kennedy facing Democrat Amy Klobuchar in Senate race; photos; map (M)",https://www.nytimes.com/2006/10/11/us/politics/in-minnesota-voters-tune-out-scandals-and-infighting-to-focus.html,"Residents of Anoka, Minn, take their elections seriously with historically high turnout on Election Day; informal survey shows voters are tired of political swiping and are looking at specific issues and, in some cases, crossing party lines if can...","ANOKA, Minn. - Merrywayne Elvig is a registered Republican who voted twice for President Bush. But these days Ms. Elvig says she ""has a lot of problems"" with the president, his administration and Congress, most notably on Iraq. She now prefers to identify herself as a conservative rather than a Republican.",A,24,The New York Times,2006-10-11T05:00:00+0000,article,National Desk,U.S.,Politics,News,nyt://article/b3316a31-495e-5657-9371-94d8c2874201,1272,nyt://article/b3316a31-495e-5657-9371-94d8c2874201,"In Minnesota, Voters Tune Out Scandals and Infighting to Focus on Issues",THE 2006 CAMPAIGN,NA,"THE 2006 CAMPAIGN; In Minnesota, Voters Tune Out Scandals and Infighting to Focus on Issues",NA,NA,NA,By Lynette Clemetson,
"  As the last National Guardsmen pulled out of this strike-torn city Friday, about 200 students left their classrooms to march in support of striking meatpackers at the Geo. A. Hormel & Company plant here.   Gov. Rudy Perpich, who sent the National Guard troops in Jan. 20, had ordered them withdrawn by the weekend.",https://www.nytimes.com/1986/02/23/us/around-the-nation-students-hold-rally-for-strikers-at-hormel.html,,"As the last National Guardsmen pulled out of this strike-torn city Friday, about 200 students left their classrooms to march in support of striking meatpackers at the Geo. A. Hormel & Company plant here.",1,22,The New York Times,1986-02-23T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/89a99bd3-2614-59af-92a6-36ade7108b6f,157,nyt://article/89a99bd3-2614-59af-92a6-36ade7108b6f,STUDENTS HOLD RALLY FOR STRIKERS AT HORMEL,AROUND THE NATION,NA,AROUND THE NATION; STUDENTS HOLD RALLY FOR STRIKERS AT HORMEL,NA,NA,NA,AP,
"The suspect, Dahir Adan, was described as “a respectful, nice guy” who behaved normally in recent encounters.",https://www.nytimes.com/2016/09/22/us/unanswered-questions-fuel-doubts-among-friends-of-minnesota-mall-attacker.html,"The suspect, Dahir Adan, was described as “a respectful, nice guy” who behaved normally in recent encounters.","ST. CLOUD, Minn. — Frustration is growing among members of the Somali community here who are eager for official information about a stabbing attack at a mall Saturday that left 10 people injured and the suspect, Dahir Adan, shot dead by an off-duty policeman. The episode is being investigated as a potential terrorist attack by the F.B.I.",NA,NA,The New York Times,2016-09-22T02:22:15+0000,article,National,U.S.,NA,News,nyt://article/5fd3a374-ea1e-55ff-8053-e26c2c663cad,668,nyt://article/5fd3a374-ea1e-55ff-8053-e26c2c663cad,Unanswered Questions Fuel Doubts Among Friends of Minnesota Mall Attacker,NA,NA,NA,NA,NA,NA,By Mitch Smith,
"Live updates and analysis from the Republican contests in Minnesota, Colorado and Missouri.",https://thecaucus.blogs.nytimes.com/2012/02/07/updates-from-g-o-p-contests-in-minnesota-colorado-and-missouri/,"Live updates and analysis from the Republican contests in Minnesota, Colorado and Missouri.","Another Tuesday, another Republican presidential contest — or three.",NA,NA,The New York Times,2012-02-08T00:31:41+0000,article,,U.S.,Politics,News,nyt://article/779113ab-56dc-50c0-9904-bf1360246746,4189,nyt://article/779113ab-56dc-50c0-9904-bf1360246746,"Updates from G.O.P. Contests in Minnesota, Colorado and Missouri",The Caucus,NA,NA,NA,NA,NA,By The New York Times,
"   More than 10 percent of the students at Olivia High School have been suspended from extracurricular activities, including football, cheerleading and band, because they were at a beer party after which a student was killed in a car crash.   ''We buried one of our students last week,'' said Jerry Bass, the school superintendent.",https://www.nytimes.com/1984/10/04/us/around-the-nation-students-are-restricted-after-one-dies-in-crash.html,,"More than 10 percent of the students at Olivia High School have been suspended from extracurricular activities, including football, cheerleading and band, because they were at a beer party after which a student was killed in a car crash.",A,18,The New York Times,1984-10-04T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/ff8fe6c4-396a-541b-990f-82b3688ccd7c,172,nyt://article/ff8fe6c4-396a-541b-990f-82b3688ccd7c,Students Are Restricted After One Dies in Crash,AROUND THE NATION,NA,AROUND THE NATION; Students Are Restricted After One Dies in Crash,NA,NA,NA,AP,
"High school student on Red Lake Indian Reservation in northern Minnesota goes on shooting rampage, killing his grandparents, five fellow students, teacher and security guard, as well as himself; dozen others are injured in barrage; grandparents were apparently killed at their home earlier in day; authorities are investigating whether guns used in shooting were taken from grandfather, Daryl Lussier, longtime officer with Red Lake Police Dept; this is worst school shooting since 1999 killing of 15 people at Columbine High School near Littleton, Colo; Red Lake reservation is home to 5,000 Ojibwa Indians, commonly called Chippewa; photo; map (M)",https://www.nytimes.com/2005/03/22/us/shooting-rampage-by-student-leaves-10-dead-on-reservation.html,"High school student on Red Lake Indian Reservation in northern Minnesota goes on shooting rampage, killing his grandparents, five fellow students, teacher and security guard, as well as himself; dozen others are injured in barrage; grandparents we...",Correction Appended,A,1,The New York Times,2005-03-22T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/0dab6fda-5c5d-5f8a-93a7-d9d5f45ae10c,874,nyt://article/0dab6fda-5c5d-5f8a-93a7-d9d5f45ae10c,Shooting Rampage by Student Leaves 10 Dead on Reservation,NA,NA,Shooting Rampage by Student Leaves 10 Dead on Reservation,NA,NA,NA,By Jodi Wilgoren,
"  Following are excerpts from the Supreme Court decision today upholding Minnesota's tuition tax deduction plan: From the Opinion By Justice Rehnquist   Minnesota allows taxpayers, in computing their state income tax, to deduct certain expenses incurred in providing for the education of their children. Minn. Stat. Sec. 290.09. The United States Court of Appeals for the Eighth Circuit held that the Establishment Clause of the First and 14thAmendments was not offended by this arrangement. We now affirm.   Minnesota, like every other state, provides its citizens with free elementary and secondary schooling. It seems to be agreed that about 820,000 students attended this school system in the most recent school year. During the same year, approximately 91,000 elementary and secondary students attended some 500 privately supported schools located in Minnesota, and about 95 percent of these students attended schools considering themselves to be sectarian.",https://www.nytimes.com/1983/06/30/us/excerpts-from-court-s-ruling-on-minnesota-tax-law-on-school-expense.html,,Following are excerpts from the Supreme Court decision today upholding Minnesota's tuition tax deduction plan: From the Opinion By Justice Rehnquist,D,22,The New York Times,1983-06-30T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/4dbc4e59-b061-5d58-9164-c161cbcfe5a4,2919,nyt://article/4dbc4e59-b061-5d58-9164-c161cbcfe5a4,EXCERPTS FROM COURT'S RULING ON MINNESOTA TAX LAW ON SCHOOL EXPENSE,NA,NA,EXCERPTS FROM COURT'S RULING ON MINNESOTA TAX LAW ON SCHOOL EXPENSE,NA,NA,NA,Special to the New York Times,
"   Eight women who are current or former employees of the William Mitchell College of Law here sued the school today, charging they had been sexually harassed by Geoffrey Peters when he was the school's president. The women also said the school's board of trustees held them up to public humiliation when they complained about being harassed.   The suit, filed in Hennepin County District Court, asked for damages in excess of $3 million.",https://www.nytimes.com/1984/03/23/us/minnesota-law-school-sued-in-a-sexual-harassment-case.html,,"Eight women who are current or former employees of the William Mitchell College of Law here sued the school today, charging they had been sexually harassed by Geoffrey Peters when he was the school's president. The women also said the school's board of trustees held them up to public humiliation when they complained about being harassed.",B,18,The New York Times,1984-03-23T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/2bec14eb-3832-537d-89d3-896eae7d5186,393,nyt://article/2bec14eb-3832-537d-89d3-896eae7d5186,MINNESOTA LAW SCHOOL SUED IN A SEXUAL HARASSMENT CASE,NA,NA,MINNESOTA LAW SCHOOL SUED IN A SEXUAL HARASSMENT CASE,NA,NA,NA,NA,
"  A college student was trapped and killed when the ceiling of an abandoned cave collapsed after he and four other broke into the cavern.   The authorities said five students from St. Olaf College had tunneled into the cave, which was sealed eight years ago.",https://www.nytimes.com/1986/11/02/us/around-the-nation-student-dies-in-cave-after-the-walls-collapse.html,,A college student was trapped and killed when the ceiling of an abandoned cave collapsed after he and four other broke into the cavern.,1,26,The New York Times,1986-11-02T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/74946af0-4f29-52ae-8665-d2fa712bde7a,165,nyt://article/74946af0-4f29-52ae-8665-d2fa712bde7a,Student Dies in Cave After the Walls Collapse,AROUND THE NATION,NA,AROUND THE NATION; Student Dies in Cave After the Walls Collapse,NA,NA,NA,AP,
"LEAD: A teacher held captive at gunpoint by a high-school sophomore for five hours played a key role in persuading the student to surrender peacefully, the authorities here say.",https://www.nytimes.com/1987/09/13/us/teacher-plays-key-role-in-surrender-of-student.html,,"A teacher held captive at gunpoint by a high-school sophomore for five hours played a key role in persuading the student to surrender peacefully, the authorities here say.",1,45,The New York Times,1987-09-13T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/c7cb5231-1068-54e7-9c67-756c5267eed0,297,nyt://article/c7cb5231-1068-54e7-9c67-756c5267eed0,Teacher Plays Key Role in Surrender of Student,NA,NA,Teacher Plays Key Role in Surrender of Student,NA,NA,NA,AP,
"Prospect of US military action against Iraq dominates political debate in neck-and-neck battle for US Senate in Minnesota, where former Republican St Paul Mayor Norm Coleman is seeking seat held by Democratic incumbent Sen Paul Wellstone, one of Congress's most outspoken liberals; Wellstone is only incumbent vowing to vote no on resolution giving Pres Bush authority to invade Iraq; has prompted stinging television advertisements and daily lashings from Coleman; professional political observers say war gives Coleman an advantage, if only because it allows him to control debate; photos (M)",https://www.nytimes.com/2002/10/07/us/specter-of-war-sets-debate-in-a-tight-race-in-minnesota.html,"Prospect of US military action against Iraq dominates political debate in neck-and-neck battle for US Senate in Minnesota, where former Republican St Paul Mayor Norm Coleman is seeking seat held by Democratic incumbent Sen Paul Wellstone, one of C...","The local television reporter had two questions for Senator Paul Wellstone after his visit Friday morning to Brigham Upholstery, an eight-person company in Duluth, Minn., that makes airplane seat covers.",A,1,The New York Times,2002-10-07T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/f2a332cd-46bd-5e1b-9303-1f33356e25fb,1359,nyt://article/f2a332cd-46bd-5e1b-9303-1f33356e25fb,Specter of War Sets Debate In a Tight Race in Minnesota,NA,NA,Specter of War Sets Debate In a Tight Race in Minnesota,NA,NA,NA,By Jodi Wilgoren,
"  When Paul Wellstone began his campaign for the Senate, hardly anyone knew his name. He had very little money, and no experience in government. Not surprisingly, the experts said Mr. Wellstone, a political science professor at Carleton College here, was tilting at windmills.    Until he won.    ""Who would have thought,"" he asked, ""that our weaknesses would turn out to be our strengths? I became the perfect anti-incumbent candidate.""",https://www.nytimes.com/1990/11/11/us/the-1990-elections-minnesota-professor-s-everyman-appeal-wins-a-senate-seat.html,,"When Paul Wellstone began his campaign for the Senate, hardly anyone knew his name. He had very little money, and no experience in government. Not surprisingly, the experts said Mr. Wellstone, a political science professor at Carleton College here, was tilting at windmills.",1,26,The New York Times,1990-11-11T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/b70d1158-7010-5071-bbc1-0689f5923e4b,1156,nyt://article/b70d1158-7010-5071-bbc1-0689f5923e4b,Minnesota Professor's 'Everyman' Appeal Wins a Senate Seat,THE 1990 ELECTIONS,NA,THE 1990 ELECTIONS; Minnesota Professor's 'Everyman' Appeal Wins a Senate Seat,NA,NA,NA,"By Dirk Johnson, Special To the New York Times",
"The decision could affect tens of thousands of students, and the education department said it would create a process to help others who were defrauded by colleges.",https://www.nytimes.com/2015/06/09/education/us-to-forgive-federal-loans-of-corinthian-college-students.html,"The decision could affect tens of thousands of students, and the education department said it would create a process to help others who were defrauded by colleges.","In a move against what he called “the ethics of payday lending” in higher education, Secretary of Education Arne Duncan announced Monday that the Education Department would forgive the federal loans of tens of thousands of students who attended Corinthian Colleges, a for-profit college company that closed and filed for bankruptcy last month, amid widespread charges of fraud. ",A,11,The New York Times,2015-06-08T22:42:00+0000,article,National,Education,NA,News,nyt://article/05402e9c-5eda-5a01-8fd3-a3aba8965712,1064,nyt://article/05402e9c-5eda-5a01-8fd3-a3aba8965712,Government to Forgive Student Loans at Corinthian Colleges,NA,NA,Government to Forgive Student Loans at Corinthian,NA,NA,NA,By Tamar Lewin,
"LEAD: A Montana State University student killed two other students with a shotgun early this morning and was then captured almost 100 miles away, the authorities said.",https://www.nytimes.com/1990/05/16/us/2-students-are-killed-in-montana-dormitory.html,,"A Montana State University student killed two other students with a shotgun early this morning and was then captured almost 100 miles away, the authorities said.",A,25,The New York Times,1990-05-16T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/0b4bb2c1-6cf5-51b8-81e7-14bea8a512e3,174,nyt://article/0b4bb2c1-6cf5-51b8-81e7-14bea8a512e3,2 Students Are Killed In Montana Dormitory,NA,NA,2 Students Are Killed In Montana Dormitory,NA,NA,NA,AP,
"Capt Dewayne Dow of Red Lake Indian Reservation tribal police tells school officials as many as 20 young people may have known something in advance of shootings inside Red Lake High School by Jeff Weise; Louis Jourdain, 16-year-old son of tribal chairman, has been arrested on charge of conspiracy in plan, and agents of Federal Bureau of Investigation are considering possibility that others were also involved or heard about plan; principal Chris Dunshee suspects number is closer to five or six people (M)",https://www.nytimes.com/2005/04/03/us/inquiry-on-school-attack-may-include-20-students.html,"Capt Dewayne Dow of Red Lake Indian Reservation tribal police tells school officials as many as 20 young people may have known something in advance of shootings inside Red Lake High School by Jeff Weise; Louis Jourdain, 16-year-old son of tribal c...","As many as 20 young people may have known something in advance about plans for the deadly shootings inside a Minnesota high school last month, a police officer from the Red Lake Indian Reservation has told school officials.",1,25,The New York Times,2005-04-03T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/8b96eb2a-d80b-53d7-bebe-6b3043425d52,617,nyt://article/8b96eb2a-d80b-53d7-bebe-6b3043425d52,Inquiry on School Attack May Include 20 Students,NA,NA,Inquiry on School Attack May Include 20 Students,NA,NA,NA,By Monica Davey,
"Immigration and Naturalization Service extends deadline for colleges to begin using new electronic system for tracking foreign students; has become backlogged in its efforts to give colleges approval to use system; there are growing complaints that system, Student and Exchange Visitor System, or Sevis, is slow and overloaded (M)",https://www.nytimes.com/2003/02/02/us/threats-responses-students-immigration-service-extends-electronic-tracking.html,Immigration and Naturalization Service extends deadline for colleges to begin using new electronic system for tracking foreign students; has become backlogged in its efforts to give colleges approval to use system; there are growing complaints tha...,"Backlogged in its efforts to give colleges approval to use a new electronic tracking system for foreign students, the Immigration and Naturalization Service has announced a two-week extension of the deadline for institutions to begin using the system.",1,14,The New York Times,2003-02-02T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/a7f7f851-c57b-51c3-9a69-21bfb95e857c,541,nyt://article/a7f7f851-c57b-51c3-9a69-21bfb95e857c,Immigration Service Extends Electronic Tracking System for Foreign Students,THREATS AND RESPONSES: STUDENTS,NA,THREATS AND RESPONSES: STUDENTS; Immigration Service Extends Electronic Tracking System for Foreign Students,NA,NA,NA,By Diana Jean Schemo,
A Bronx teacher has created a website for potential donors to browse the wish lists of New York City teachers.,https://www.nytimes.com/2001/10/17/education/web-site-for-postattack-wish-lists.html,A Bronx teacher has created a website for potential donors to browse the wish lists of New York City teachers.," One school wants an architect to visit and help fourth graders design memorials to the World Trade Center victims. Another hopes to buy books about the Middle East. A third has requested ""recovery journals"" in which students can write and draw responses to the terrorist attack. ",NA,NA,The New York Times,2001-10-17T05:00:00+0000,article,Education,Education,NA,News,nyt://article/519621b3-fceb-58a9-9e2b-f4e1fb438eb6,611,nyt://article/519621b3-fceb-58a9-9e2b-f4e1fb438eb6,Web Site for Post-Attack Wish Lists,Bulletin Board,NA,Web Site for Post-Attack Wish Lists,NA,NA,NA,By The New York Times,
"Many residents of Murdock, Minn., said they were horrified that an organization condemned by watchdogs as a white supremacist hate group would open a church. City leaders said they had little choice but to grant a permit.",https://www.nytimes.com/2021/01/09/us/minnesota-asatru-folk-assembly.html,"Many residents of Murdock, Minn., said they were horrified that an organization condemned by watchdogs as a white supremacist hate group would open a church. City leaders said they had little choice but to grant a permit.",Maria Barron came to rural Minnesota 10 years ago from Mexico so her husband could work in a nearby dairy farm.,NA,NA,The New York Times,2021-01-09T15:05:46+0000,article,Express,U.S.,NA,News,nyt://article/7f6d9a4f-e675-5758-887e-119781510f96,1178,nyt://article/7f6d9a4f-e675-5758-887e-119781510f96,Fear Spreads in Minnesota Town as ‘Extremist Group’ Moves to Open Church,NA,NA,NA,NA,NA,NA,By Maria Cramer,
"   The artistic director of the Minneapolis Children's Theater Company and School has resigned, three weeks after being charged with sexually abusing three young male students.   The organization's board of directors unanimously accepted the resignation Friday, according to Winthrop Rockwell, a board vice president.   ''It was a one-line letter of resignation,'' Mr. Rockwell reported. ''It said, and I'm paraphrasing, 'I, John Clark Donahue, resign as artistic director of the Children's Theater, effective immediately.''' Mr. Rockwell said that the board had not asked for the resignation but felt it was ''appropriate.''",https://www.nytimes.com/1984/05/13/us/theater-aide-quits-in-minnesota-sex-abuse-case.html,,"The artistic director of the Minneapolis Children's Theater Company and School has resigned, three weeks after being charged with sexually abusing three young male students.",1,21,The New York Times,1984-05-13T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/883d253b-a3ac-52ae-8752-44bbde035ec0,447,nyt://article/883d253b-a3ac-52ae-8752-44bbde035ec0,THEATER AIDE QUITS IN MINNESOTA SEX ABUSE CASE,NA,NA,THEATER AIDE QUITS IN MINNESOTA SEX ABUSE CASE,NA,NA,NA,AP,
"After a sweep yields 49 arrests in one Minnesota community, students head to class fearful their parents will be targeted next by government agents. ",https://www.nytimes.com/2007/05/23/education/23education.html,"After a sweep yields 49 arrests in one Minnesota community, students head to class fearful their parents will be targeted next by government agents. ","WILLMAR, Minn.",B,7,The New York Times,2007-05-23T04:00:00+0000,article,Metro,Education,NA,News,nyt://article/c635f732-a476-53ff-8c69-e5d301ad6dca,1085,nyt://article/c635f732-a476-53ff-8c69-e5d301ad6dca,Immigration Raid Leaves Sense of Dread in Hispanic Students,On Education,NA,Immigration Raid Leaves Sense of Dread In Hispanic Students,NA,NA,NA,By Samuel G. Freedman,
"Ahead of the midterm elections, people in Anoka, Minn., craved substance and not rhetoric, and wanted to hear about issues like health care and the war in Iraq.",https://www.nytimes.com/2006/10/11/us/politics/11voices.html,"Ahead of the midterm elections, people in Anoka, Minn., craved substance and not rhetoric, and wanted to hear about issues like health care and the war in Iraq.","ANOKA, Minn. — Merrywayne Elvig is a registered Republican who voted twice for President Bush. But these days Ms. Elvig says she “has a lot of problems” with the president, his administration and Congress, most notably on Iraq. She now prefers to identify herself as a conservative rather than a Republican. ",A,24,The New York Times,2006-10-11T04:00:00+0000,article,National,U.S.,Politics,News,nyt://article/770a5e84-bf8b-595f-befb-f28cf4ad2919,1282,nyt://article/770a5e84-bf8b-595f-befb-f28cf4ad2919,"In Minnesota, Voters Tune Out Scandals and Infighting to Focus on Issues",NA,NA,"In Minnesota, Voters Tune Out Scandals and Infighting to Focus on Issues",NA,NA,NA,By Lynette Clemetson,
"After a sweep yields 49 arrests in one Minnesota community, students head to class fearful their parents will be targeted next by government agents. ",https://www.nytimes.com/2007/05/23/education/23education.html,"After a sweep yields 49 arrests in one Minnesota community, students head to class fearful their parents will be targeted next by government agents. ","WILLMAR, Minn.",B,7,The New York Times,2007-05-23T04:00:00+0000,article,Metro,Education,NA,News,nyt://article/c635f732-a476-53ff-8c69-e5d301ad6dca,1085,nyt://article/c635f732-a476-53ff-8c69-e5d301ad6dca,Immigration Raid Leaves Sense of Dread in Hispanic Students,On Education,NA,Immigration Raid Leaves Sense of Dread In Hispanic Students,NA,NA,NA,By Samuel G. Freedman,
"LEAD: The authorities today arrested David Brom, 16 years old, in the ax murders of his parents, a brother and a sister. Prosecutors said they would seek to try him as an adult on murder charges.",https://www.nytimes.com/1988/02/20/us/boy-16-charged-in-ax-murders-of-4-in-his-family-in-minnesota.html,,"The authorities today arrested David Brom, 16 years old, in the ax murders of his parents, a brother and a sister. Prosecutors said they would seek to try him as an adult on murder charges.",1,50,The New York Times,1988-02-20T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/fe2df858-5a1c-59b7-9637-6d4d8519c4fa,466,nyt://article/fe2df858-5a1c-59b7-9637-6d4d8519c4fa,"Boy, 16, Charged in Ax Murders Of 4 in His Family in Minnesota",NA,NA,"Boy, 16, Charged in Ax Murders Of 4 in His Family in Minnesota",NA,NA,NA,AP,
"The new policy by Warwick Public Schools drew widespread criticism, with many saying that poorer children should not have to struggle with inadequate nutrition while trying to learn.",https://www.nytimes.com/2019/05/08/us/rhode-island-lunch-money.html,"The new policy by Warwick Public Schools drew widespread criticism, with many saying that poorer children should not have to struggle with inadequate nutrition while trying to learn.",A public school district in Rhode Island is trying a way to cut down on lunch debts: It told students with unpaid bills they had only one choice for meals.,A,13,The New York Times,2019-05-08T20:58:11+0000,article,Express,U.S.,NA,News,nyt://article/92a2aa09-e16b-5d8f-9d10-1c783c7055c0,1015,nyt://article/92a2aa09-e16b-5d8f-9d10-1c783c7055c0,Rhode Island District Tells Students With Lunch Debt: Only Jelly Sandwiches for You,NA,NA,"For Students Who Owe On School Lunch Bills, Menu Is Much Smaller",NA,NA,NA,By Christine Hauser,
"   Public school teachers here went on strike today in a dispute over pay, and classes were canceled for more than 14,000 students.",https://www.nytimes.com/1983/12/02/us/teachers-on-strike-in-duluth-14000-students-get-day-off.html,,"Public school teachers here went on strike today in a dispute over pay, and classes were canceled for more than 14,000 students.",A,8,The New York Times,1983-12-02T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/e61a7ba1-de96-5691-90a6-9678f9b551d5,124,nyt://article/e61a7ba1-de96-5691-90a6-9678f9b551d5,"Teachers on Strike in Duluth; 14,000 Students Get Day Off",NA,NA,"Teachers on Strike in Duluth; 14,000 Students Get Day Off",NA,NA,NA,AP,
"Congress now has an array of legislative options to prevent the interest rate from doubling to 6.8 percent on July 1, as scheduled.",https://www.nytimes.com/2013/05/10/us/politics/bills-would-prevent-rise-in-student-loan-rates.html,"Congress now has an array of legislative options to prevent the interest rate from doubling to 6.8 percent on July 1, as scheduled.","Congress now has an array of legislative options to prevent the interest rate on student loans from doubling to 6.8 percent on July 1, as scheduled. ",A,21,The New York Times,2013-05-10T02:01:01+0000,article,National,U.S.,Politics,News,nyt://article/711ade43-bacc-5f0f-9897-514367c718f9,425,nyt://article/711ade43-bacc-5f0f-9897-514367c718f9,Bills Would Prevent Rise in Student Loan Rates,NA,NA,Bills Would Prevent Rise in Student Loan Rates,NA,NA,NA,By Tamar Lewin,
A report comparing math and science test scores of eighth graders has found that a majority outperformed the international average.,https://www.nytimes.com/2013/10/24/education/better-news-in-new-study-that-assesses-us-students.html,A report comparing math and science test scores of eighth graders has found that a majority outperformed the international average.,"Amid growing alarm over the slipping international competitiveness of American students, a report comparing math and science test scores of eighth graders in individual states to those in other countries has found that a majority outperformed the international average.",A,12,The New York Times,2013-10-24T00:09:04+0000,article,National,Education,NA,News,nyt://article/5a3715f5-2707-5877-a8db-a8c9d58df67d,722,nyt://article/5a3715f5-2707-5877-a8db-a8c9d58df67d,Better News in New Study That Assesses U.S. Students,NA,NA,Better News In New Study That Assesses U.S. Students,NA,NA,NA,By Motoko Rich,
"Minnesota's Senate race, sad and turbulent since death of Sen Paul Wellstone in airplane crash, ends with long lines of voters waiting to cast ballots for Walter F Mondale, Wellstone's replacement, or Republican Norm Coleman; photos (M)",https://www.nytimes.com/2002/11/06/us/the-2002-elections-the-minnesota-vote-an-unusual-race-ends-with-lines-hours-long.html,"Minnesota's Senate race, sad and turbulent since death of Sen Paul Wellstone in airplane crash, ends with long lines of voters waiting to cast ballots for Walter F Mondale, Wellstone's replacement, or Republican Norm Coleman; photos (M)","After casting his ballot this morning, Brad Hokanson, who teaches computer graphics at the University of Minnesota, walked a few blocks to a sprawling sidewalk shrine honoring the late Senator Paul Wellstone and placed his red ''I voted'' sticker on one of the green ''Wellstone!'' signs that have become an emblem of this year's sad and turbulent campaign.",B,3,The New York Times,2002-11-06T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/ce7a71b6-0951-5d13-b555-6e471903386c,975,nyt://article/ce7a71b6-0951-5d13-b555-6e471903386c,An Unusual Race Ends With Lines Hours Long,THE 2002 ELECTIONS: THE MINNESOTA VOTE,NA,THE 2002 ELECTIONS: THE MINNESOTA VOTE; An Unusual Race Ends With Lines Hours Long,NA,NA,NA,By Jodi Wilgoren,
"President Obama is pushing to retain a low interest rate for student loans, but Republicans counter that such a move is a fiscally irresponsible attempt to buy the youth vote.",https://www.nytimes.com/2012/04/20/education/student-loan-interest-rates-loom-as-political-battle.html,"President Obama is pushing to retain a low interest rate for student loans, but Republicans counter that such a move is a fiscally irresponsible attempt to buy the youth vote.","President Obama begins an all-out push on Friday to get Congress to extend the low interest rate on federal student loans, White House officials said, an effort that is likely to become a heated battle along party lines. If Congress fails to act, the interest rate on the loans, which are taken out by nearly eight million students each year, will double on July 1, to 6.8 percent.",A,12,The New York Times,2012-04-20T04:00:53+0000,article,National,Education,NA,News,nyt://article/ca278a79-f393-5a69-90f0-14178d3eae6b,733,nyt://article/ca278a79-f393-5a69-90f0-14178d3eae6b,Student Loan Interest Rates Loom as Political Battle,NA,NA,Battle Looms On Low Rates For U.S. Loans For Students,NA,NA,NA,By Tamar Lewin,
